"id","address","name","symbol","logoURI","coingeckoId"
"1","J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn","Jito Staked SOL","JitoSOL","https://storage.googleapis.com/token-metadata/JitoSOL-256.png","jito-staked-sol"
"2","5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm","Infinity","INF","https://bafkreiflz2xxkfn33qjch2wj55bvbn33q3s4mmb6bye5pt3mpgy4t2wg4e.ipfs.nftstorage.link/","socean-staked-sol"
"3","mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So","Marinade staked SOL (mSOL)","mSOL","https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So/logo.png","msol"
"4","Bybit2vBJGhPF52GBdNaQfUJ6ZpThSgHBobjWZpLPb4B","BybitSOL","bbSOL","https://static.bymj.io/web3/staking/bbsol/bbsol2.png","bybit-staked-sol"
"5","jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v","Jupiter Staked SOL","JupSOL","https://static.jup.ag/jupSOL/icon.png","jupiter-staked-sol"
"6","bSo13r4TkiE4KumL71LsHTPpL2euBYLFx6h9HP3piy1","BlazeStake Staked SOL (bSOL)","bSOL","https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/bSo13r4TkiE4KumL71LsHTPpL2euBYLFx6h9HP3piy1/logo.png","blazestake-staked-sol"
"7","BonK1YhkXEGLZzwtcvRTip3gAL9nCeQD7ppZBLXhtTs","Bonk SOL","bonkSOL","https://arweave.net/ms-FdIyJ8TxEJOb2SAYhfyrLop7TDrCEjD-I-oIl5u4","bonk-staked-sol"
"8","HUBsveNpjo5pWqNkH57QzxjQASdTVXcSK7bVKTSZtcSX","SolanaHub staked SOL","hubSOL","https://arweave.net/RI0OfNg4Ldn5RRdOp9lE60NqUmweGtJxF5N8JjU_Y0k","solanahub-staked-sol"
"9","StPsoHokZryePePFV8N7iXvfEmgUoJ87rivABX7gaW6","stepSOL","stepSOL","https://step-public.s3.eu-north-1.amazonaws.com/StepSOL.svg","step-staked-sol"
"10","vSoLxydx6akxyMD9XEcPvGYNGq6Nn66oqVb3UkGkei7","The Vault","vSOL","https://bafkreig55mf3lazzbgndiqyqvdmchdsykvvebww7cqlws6ywgog5xfdzta.ipfs.nftstorage.link/","the-vault-staked-sol"
"11","LSTxxxnJzKDFSLr4dUkPcmCf5VyryEqzPLz5j4bpxFp","Liquid Staking Token","LST","https://storage.googleapis.com/static-marginfi/lst.png","liquid-staking-token"
"12","Dso1bDeDjCQxTrWHqUUi63oBvV7Mdm6WaobLbQ7gnPQ","Drift Staked SOL","dSOL","https://drift-public.s3.eu-central-1.amazonaws.com/dSOL.svg","drift-staked-sol"
"13","he1iusmfkpAdwvxLNGV8Y1iSbj4rUy6yMhEA3fotn9A","Helius Staked SOL","hSOL","https://raw.githubusercontent.com/igneous-labs/lst-offchain-metadata/master/hSOL/hSOL.png","helius-staked-sol"
"14","jucy5XJ76pHVvtPZb5TKRcGQExkwit2P5s4vY8UzmpC","Juicy SOL","jucySOL","https://shdw-drive.genesysgo.net/5ohvXVJ7f3HxnwYGnXKdECWC3KFcU95dHu7S7x69Y1sA/logo_rev.svg","juicy-staked-sol"
"15","BNso1VUJnh4zcfpZa6986Ea66P6TCp59hvtNJ8b1X85","Binance Staked SOL","BNSOL","https://arweave.net/LepI-hea-JrbLMb4L_HpMzaq9k0aHY2-lVSGiBtwvFM?ext=png","binance-staked-sol"
"16","Comp4ssDzXcLeu2MnLuGNNFC4cmLPMng8qWHPvzAMU1h","Compass SOL","compassSOL","https://solanacompass.com/compass.png","solana-compass-staked-sol"
"17","LAinEtNLgpmCP9Rvsf5Hn8W6EhNiKLZQti1xfWMLy6X","Laine Stake","laineSOL","https://vvmbtadq63n53sdsqhlzbnzhvj5tdfp7moqixyv7rgkk6frqhqqq.arweave.net/rVgZgHD2293IcoHXkLcnqnsxlf9joIviv4mUrxYwPCE","laine-stake"
"18","pumpkinsEq8xENVZE6QgTS93EN4r9iKvNxNALS1ooyp","pumpkinSOL","pumpkinSOL","https://raw.githubusercontent.com/bartenbach/pumpkins_pool/main/assets/img/pumpkintoken.png","pumpkin-staked-sol"
"19","phaseZSfPxTDBpiVb96H4XFSD8xHeHxZre5HerehBJG","Phase Labs SOL","phaseSOL","https://raw.githubusercontent.com/phaselabscrypto/.github/main/profile/public/phaseSOL.png","phase-labs-staked-sol"
"20","LnTRntk2kTfWEY6cVB8K9649pgJbt6dJLS1Ns1GZCWg","Lantern Staked SOL","lanternSOL","https://arweave.net/juI8rxciTff6pljaDiXMEq5klSOngQol_8lvyokGGwY","lantern-staked-sol"
